Country,Gini coefficient 2005_2013,Internat_access_per100ppl_2015,Avg_CDVI,FEWS,HDI ,GDP,population,infant_mortality,urban,urban_growth,life_expectancy,female_policy,mobile,fuel_exports,fuel_imports,pm25,co2,energy,water,land,renewable,coal
Afghanistan,27.8,8,3.081873,0.32,0.47,1876.544682,34656032,91.1,27.132,4.282960067,63.29819512,27.7,66.00374446,NA,19.33986983,48.01676483,0.299444991,2.637532569,1439.342182,11.90301137,16.74899642,0
Albania,29,63,0.313638,0.7,0.72,11928.53656,2876101,14,58.376,1.514006568,78.20314634,22.9,105.0623124,1.567523363,8.150161313,17.93662454,1.978763312,3.338773912,9310.845162,22.46715328,38.6894966,0
Algeria,NA,38,2.833966,0.5,0.72,15074.92481,40606052,25.5,71.304,2.637964095,75.85529268,31.6,117.0201102,95.76423179,4.914099665,35.56453306,3.717409901,4.09963435,287.6258526,3.136109258,0.068775439,0
Angola,42.7,12,0,0.44,0.53,6499.067104,28813463,156.9,44.819,5.098251496,61.18934146,36.8,55.27564687,96.19440336,5.73506127,36.39542768,1.291328315,3.645251056,5497.676006,3.930376193,50.79746645,0
Antigua and Barbuda,NA,NA,3.52154,0.58,0.77,22413.4838,100963,8.1,23.393,-0.578390146,76.07563415,11.1,194.0826361,NA,29.77386425,13.88760103,5.377648546,4.011551141,525.9165613,9.090909091,0,0
Argentina,43.6,69,1.479629,0.87,0.81,19934.37249,43847430,12.5,91.893,1.139388252,76.29302439,35.8,150.6656849,4.751054465,16.92103947,13.44396548,4.746797455,4.470668323,6793.61814,14.323873,10.77312486,0
Armenia,30.3,58,0.519639,0.65,0.73,8817.953996,2924816,14.1,62.558,0.085624168,74.20619512,10.7,114.7796321,6.339750761,20.32830053,25.50768535,1.90275891,5.35254782,2360.110384,15.71829996,7.724733865,0
Australia,34,85,0.954946,0.9,0.93,46789.92724,24127159,3.8,89.554,1.556450202,82.45121951,28.7,109.6064682,28.01940925,16.10980078,5.897734951,15.39859985,5.164669683,20971.24663,6.112362183,9.497567815,1
Austria,30,84,-0.05267,0.9,0.88,50077.83261,8747358,3.5,66.032,1.410967561,81.84390244,30.6,166.1389108,2.386195601,10.22262762,17.01299421,6.87371322,3.593458774,6439.093493,16.37967597,35.78392667,0
Azerbaijan,33,77,0.642739,0.7,0.75,17253.25603,9762274,31.7,54.895,1.665784788,71.84519512,16.8,106.2845688,92.63841257,3.422487533,30.3540129,3.931560609,3.762405728,851.0679356,23.30546919,2.116818483,0
Bahamas,NA,NA,NA,0.74,0.79,23173.0333,391232,12.1,82.951,1.222425351,75.36878049,13.2,91.81818877,NA,22.91683891,13.71948341,6.323257512,4.027368648,1831.650396,0.799200799,1.09819653,0
Bangladesh,32.1,14,1.669397,0.41,0.56,3580.694128,162951560,37.6,35.035,3.267463256,72.22160976,20,77.88240574,NA,NA,89.3929096,0.459141965,3.129437284,658.698386,58.91526465,37.48503198,0
Barbados,NA,NA,NA,0.59,0.78,16815.57034,284996,13,31.415,0.082687112,75.63790244,16.7,114.9950327,9.42637536,25.56725755,15.38938638,4.490177673,3.877799352,282.3014627,25.58139535,3.1677618,0
Belarus,26.5,62,-0.194369,0.78,0.79,18060.41295,9507120,4.6,77.046,0.677415185,73.62439024,34.5,124.1695225,33.16786379,29.37437487,20.48379252,6.701957705,7.061398212,3588.575706,27.94342319,6.634181148,0
Belgium,33.1,85,0.122803,0.77,0.88,46383.23696,11348159,4.1,97.897,0.693736606,81.28780488,39.3,111.0129108,11.33667661,16.20640598,15.63662972,8.328159898,4.824562499,1070.562849,26.98150594,9.038057111,0
Belize,NA,42,1.724724,0.71,0.73,8448.043456,366954,16.5,43.845,1.819537719,70.31097561,3.1,63.87061558,16.65826719,15.00291616,27.04048536,1.407601494,4.529278834,43389.99244,3.419552828,36.54403749,0
Benin,43.5,7,3.22105,0.28,0.48,2168.210407,10872298,99.5,44.395,3.770961027,60.58468293,7.2,79.64830208,0.254303759,13.96679173,35.16237337,0.614213852,8.744760407,1001.291764,23.94466123,48.60073637,0
Bolivia,46.6,45,2.73747,0.53,0.67,7236.089471,10887882,38.4,68.911,2.090730993,68.74980488,53.1,90.74927347,57.82125731,11.91511348,27.97140377,1.932419499,5.221590933,28734.65548,4.128588572,16.81796221,0
Bosnia and Herzegovina,33,65,0.085202,0.72,0.73,12074.75236,3516816,5.4,39.94,-0.108867286,76.64029268,21.4,89.24919928,9.396595726,16.73101527,47.40090583,6.234719162,8.847452447,9955.126217,19.74609375,41.74546069,1
Botswana,60.5,28,2.570146,0.62,0.68,16734.85198,2250260,43.6,57.71,2.303663536,65.75109756,9.5,158.5343822,0.488134903,15.50219868,17.5393912,3.243287637,3.370599365,1106.718566,0.70403896,29.16849718,0
Brazil,52.7,59,1.628622,0.81,0.74,15127.8101,207652865,16.4,85.933,1.104235786,75.19912195,9.9,118.922999,9.246522347,19.6663899,11.36829449,2.594388285,4.063226263,27721.0379,9.573541482,41.81093085,1
Bulgaria,34.3,57,NA,0.73,0.78,19199.07115,7127822,10.4,74.266,-0.272281648,74.46585366,20.4,127.2292355,11.166175,19.29835741,28.12871472,5.871615869,6.33955779,2907.001694,32.11127487,16.96708383,1
Burkina Faso,39.8,11,2.478397,0.27,0.39,1720.121585,18646433,88.6,30.688,5.654151508,59.84465854,9.4,83.62763173,11.73303093,31.34049876,40.03947692,0.162018806,5.949926311,710.7936056,21.92982456,76.48121026,0
Burundi,33.3,5,2.754941,0.19,0.39,777.9565012,10524117,81.7,12.359,5.609274897,57.06934146,36.4,48.04065322,0.039931806,24.35478626,45.53410622,0.044485376,7.826447063,1017.005011,46.72897196,90.04661449,0
Cambodia,31.8,19,2.059624,0.34,0.58,3735.478623,15762370,28.7,20.945,2.63038193,68.47204878,20.3,124.9438457,3.55E-05,3.382490726,29.03890178,0.437759998,5.587274562,7897.430323,21.52730569,67.95334784,0
Cameroon,40.7,21,1.990407,0.43,0.5,3285.731599,23439189,87.9,54.938,3.632635989,57.5575122,31.1,68.11383605,54.38476894,28.02920698,66.42837013,0.314928068,4.929540387,12275.23284,13.11586385,77.38821693,0
Canada,33.7,88,-0.938241,0.91,0.9,44025.18343,36286425,4.9,82.006,1.431183937,82.12902439,26,84.06444554,28.06721155,10.59740084,7.178847511,15.1132392,7.702573688,80181.03697,5.060202276,22.57580705,1
Cape Verde,NA,NA,NA,0.37,0.64,6553.034369,539560,24.5,66.187,2.243282671,72.43517073,23.6,122.0229832,NA,15.41627862,39.55602953,0.933403237,2.69585812,569.8687592,13.64764268,26.19641579,0
Central African Republic,56.3,5,2.46398,0.31,0.34,698.8896075,4594621,130.1,40.332,1.795799949,51.37785366,7.2,25.48780926,NA,0.427814063,46.46839936,0.066593111,8.86589517,31226.52474,2.889338342,77.19169954,0
Chad,43.3,3,3.02086,0.24,0.37,1991.247916,14452543,138.7,22.618,3.766139312,52.55395122,14.9,44.47888063,NA,.,46.05858564,0.053777688,2.787178174,1105.425295,3.891359593,89.24006473,0
Chile,50.8,64,1.010196,0.8,0.82,23960.27015,17909754,8.1,89.697,1.01093723,79.16068293,15.8,127.1180653,0.851660741,21.25635135,20.94195715,4.687376624,3.881573707,50244.70021,1.733886369,26.41527897,0
China,37,50,-0.235531,0.63,0.72,15534.70194,1378665000,10.7,56.778,2.612874387,76.11709756,23.6,96.87787265,1.458754918,17.20111591,58.37659937,7.543907641,7.43281297,2061.908566,11.25880106,17.09945969,1
Colombia,53.5,56,2.667805,0.75,0.71,14157.63404,48653419,15.9,76.708,1.232008745,74.15619512,19.9,117.0901968,67.52860132,12.01430849,17.99813938,1.759537174,2.343102782,44882.0722,1.509869311,24.5170199,1
Comoros,NA,NA,NA,0.36,0.49,1522.255706,795601,73.5,28.412,2.720188525,63.46068293,3,57.65843875,NA,.,17.07934151,0.202814119,4.663190839,1580.226104,34.92745836,46.49399305,0
Congo,40.2,8,2.920676,0.39,0.56,5718.788841,5125821,45,65.798,3.209660046,64.09073171,7.4,113.3471493,61.8681573,2.965164935,53.0089847,0.635369293,4.078888254,45574.91212,1.610541728,62.3685091,0
Costa Rica,48.6,60,2.567219,0.78,0.76,16614.08851,4857274,9.7,77.675,2.128248284,79.60890244,33.3,159.2314897,0.043355735,12.80491942,20.11774831,1.630951062,3.033376805,23751.59614,4.545632589,37.86890976,0
Côte d’Ivoire,43.2,70,1.811375,0.45,0.45,3719.624562,23695919,92.6,54.869,3.774025107,53.0782439,9.2,126.0146009,21.4559799,25.8989356,23.53443788,0.490206046,8.43447152,3410.359344,9.119496855,70.83529197,0
Croatia,33.6,21,0.119937,0.81,0.81,23596.24491,4170600,4.3,59.284,-0.246974947,77.27560976,12.6,104.1129152,13.45813323,18.67706152,21.78040386,3.973804906,3.966372409,8894.889072,14.53180843,33.64663703,0
